id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer
27845,Women,Apparel,Topwear,Blazers,Black,Summer,2012.0,Formal,Scullers For Her Black Blazer
31743,Men,Apparel,Topwear,Blazers,Olive,Summer,2012.0,Formal,Reid & Taylor Men Semi Formal Olive Blazer
31729,Men,Apparel,Topwear,Blazers,Blue,Summer,2012.0,Formal,Reid & Taylor Men Blue Blazer
31742,Men,Apparel,Topwear,Blazers,Black,Summer,2012.0,Formal,Reid & Taylor Men Semi Formal Black Blazer
31733,Men,Apparel,Topwear,Blazers,Black,Summer,2012.0,Formal,Reid & Taylor Men Charcoal Grey Blazer
31732,Men,Apparel,Topwear,Blazers,Brown,Summer,2012.0,Formal,Reid & Taylor Men Brown Blazer
31221,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Casual,Puma Women Black Capris
17926,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011.0,Casual,Nike Women Casual Grey Capri
45499,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2012.0,Casual,Fila Women Navy Blue Savari 3/4th Pants
43074,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Sports,Nike Womens Black Capris
41080,Women,Apparel,Bottomwear,Capris,Blue,Summer,2013.0,Casual,Allen Solly Woman Blue Capri
3912,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012.0,Casual,Urban Yoga Women Yoga Grey Capri
4770,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,ADIDAS Women Ess Mf3s Black White Capri
57097,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Elle Women Blue Capris
28454,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Sports,Urban Yoga Women Black Capris
28522,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Sports,Nike Women Jersey Cuffed Pink Capris
45500,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Casual,Fila Women Black Savari 3/4th Pants
33507,Women,Apparel,Bottomwear,Capris,White,Summer,2012.0,Casual,Doodle Kids Girl  White Capris
5017,Women,Apparel,Bottomwear,Capris,Pink,Summer,2016.0,Casual,Levis Kids Girl's Alicia Pink Kidswear
4773,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011.0,Sports,ADIDAS Women 3S Blue Capri
19242,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011.0,Casual,Puma Women Grey Capri Pants
32633,Women,Apparel,Bottomwear,Capris,Black,Fall,2012.0,Sports,Nike Women Black Legend Slim Capris
16225,Women,Apparel,Bottomwear,Capris,Black,Fall,2011.0,Ethnic,Puma Women Capri Sweat Black Capris
27415,Women,Apparel,Bottomwear,Capris,Black,Winter,2015.0,Casual,Jockey Women Black Relaxed Capris
43077,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012.0,Sports,Nike Womens Grey Capris
7489,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,Nike Women As Be Strong Black Capri
27028,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Jealous 21 Women Blue Capris
27416,Women,Apparel,Bottomwear,Capris,Grey Melange,Winter,2015.0,Casual,Jockey Women Grey Melange Relaxed Fit Capris 1306
15351,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011.0,Sports,Nike Women Solid Grey Capris
27418,Women,Apparel,Bottomwear,Capris,Red,Winter,2015.0,Casual,Jockey Women Red Relaxed Capris
27407,Women,Apparel,Bottomwear,Capris,Charcoal,Summer,2018.0,Casual,Jockey Women Charcoal Capris
4849,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,ADIDAS Women Tight Black Capri
27229,Women,Apparel,Bottomwear,Capris,Green,Summer,2012.0,Casual,Doodle Kids Girl  Green Capris
5001,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011.0,Casual,Gini and Jony Girl's Tamira Blue Kidswear
57207,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Capris
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,Puma Women Essential Skinny Black 3/4 Pant
13282,Women,Apparel,Bottomwear,Capris,Black,Fall,2011.0,Casual,Gini and Jony Kids Solid Black Capris
15482,Women,Apparel,Bottomwear,Capris,Black,Fall,2011.0,Casual,Puma Women TP Cuffed Black Capris
30613,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012.0,Sports,Nike Women Trainning Grey Capris
43225,Women,Apparel,Bottomwear,Capris,Beige,Fall,2012.0,Casual,United Colors of Benetton Women Beige Capri
27408,Women,Apparel,Bottomwear,Capris,Grey Melange,Summer,2018.0,Casual,Jockey Women Grey Melange Knit Capris 1300
16226,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011.0,Casual,Puma Women Capri Sweat Grey Capris
27222,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Doodle Kids Girl  Pink Capris
28632,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Sports,Nike Women Black Sports Capris
31464,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Sports,Nike Women Training Green Capris
13342,Women,Apparel,Bottomwear,Capris,Purple,Fall,2011.0,Casual,Gini and Jony Kids Girls Solid Purple Capris
7544,Women,Apparel,Bottomwear,Capris,Grey,Summer,2011.0,Sports,Nike Women Classic Grey Capri
17925,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011.0,Casual,Nike Women Casual Blue Capri
2953,Women,Apparel,Bottomwear,Capris,Yellow,Fall,2010.0,Casual,DUSG Women Rishikesh Organic Wheat Capri
27405,Women,Apparel,Bottomwear,Capris,Black,Summer,2018.0,Casual,Jockey Women Black Capris
8758,Women,Apparel,Bottomwear,Capris,Black,Fall,2011.0,Sports,Puma Women Move Dance Black Capri
3483,Women,Apparel,Bottomwear,Capris,Black,Fall,2012.0,Casual,ADIDAS Women Black Capri
38571,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012.0,Sports,Nike Women Regular Grey Capris
3911,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2011.0,Casual,Urban Yoga Women Yoga Navy Capri
2306,Women,Apparel,Bottomwear,Capris,Black,Fall,2010.0,Sports,Nike Women Cuffed Black Capris
51359,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Spykar Women Blue Washed Capri
31228,Women,Apparel,Bottomwear,Capris,Black,Fall,2013.0,Sports,Puma Women Black Basic Capris
53744,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012.0,Casual,ADIDAS Women Grey Capris
7507,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011.0,Sports,Nike Women As Be Strong Grey Capri
31229,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Puma Women Pink Capris
20715,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Smart Casual,Red Tape Men Black Leather Casual Shoes
57488,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Formal,Lee Cooper Men Black  Shoes
57489,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Formal,Lee Cooper Men Brown Shoes
20714,Men,Footwear,Shoes,Casual Shoes,Coffee Brown,Winter,2018.0,Smart Casual,Red Tape Men Coffee Brown Leather Loafers
35053,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Formal,Windsor Men Black Formal Shoes
20709,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Smart Casual,Buckaroo Men Dark Brown Cargo Leather Casual Shoes
57493,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Formal,Lee Cooper Men Black Shoes
14398,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Formal,Enroute Women DK.Grey shoes
31329,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2013.0,Formal,Franco Leone Men Slip On Navy Blue Shoes
21728,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Formal,Hush Puppies Men Casual Brown Shoes
10297,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Smart Casual,Clarks Men Black Leather Loafers
20711,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Smart Casual,Red Tape Men Brown Leather Casual Shoes
57497,Men,Footwear,Shoes,Casual Shoes,Tan,Summer,2013.0,Formal,Lee Cooper Men Tan Shoes
57518,Men,Footwear,Shoes,Casual Shoes,Tan,Summer,2013.0,Smart Casual,Provogue Men Tan Brown Leather Casual Shoes
10182,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Puma Women Style Cat White Casual Shoes
57520,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Provogue Men Brown Casual Shoes
15316,Men,Footwear,Shoes,Casual Shoes,Green,Fall,2011.0,Casual,ADIDAS Men Vigor Green Casual Shoes
6360,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2011.0,Casual,Numero Uno Men's Red Canvas Shoe
17712,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Vans Women E-Street Grey Casual Shoes
14491,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Flying Machine Men Casual Black Casual Shoes
5939,Women,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,ADIDAS Women's Agashae White Shoe
6446,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2011.0,Casual,Lotto Men's Calcetto Grey Shoe
7367,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men's Stone Casual Shoe
